192.168.1.167 - - [26/Jul/2022:11:46:51 +0800] "GET /cims_gjmy/CIMS/tab/images/tab_03.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:51 +0800] "GET /cims_gjmy/CIMS/tab/images/11.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:51 +0800] "GET /cims_gjmy/CIMS/tab/images/33.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:51 +0800] "GET /cims_gjmy/CIMS/tab/images/tab_07.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:51 +0800] "GET /cims_gjmy/CIMS/tab/images/22.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:51 +0800] "GET /cims_gjmy/CIMS/tab/images/del.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:51 +0800] "GET /cims_gjmy/CIMS/tab/images/edt.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:51 +0800] "GET /cims_gjmy/CIMS/tab/images/first.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:51 +0800] "GET /cims_gjmy/CIMS/tab/images/tab_18.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:51 +0800] "GET /cims_gjmy/CIMS/tab/images/back.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:51 +0800] "GET /cims_gjmy/CIMS/tab/images/next.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:51 +0800] "GET /cims_gjmy/CIMS/tab/images/go.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:51 +0800] "GET /cims_gjmy/CIMS/tab/images/last.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:51 +0800] "GET /cims_gjmy/CIMS/tab/images/tab_05.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:51 +0800] "GET /cims_gjmy/CIMS/tab/images/tab_20.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:51 +0800] "GET /cims_gjmy/CIMS/tab/images/tab_12.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:51 +0800] "GET /cims_gjmy/CIMS/tab/images/bg.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:51 +0800] "GET /cims_gjmy/CIMS/tab/images/tab_19.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:51 +0800] "GET /cims_gjmy/CIMS/tab/images/tab_15.gif HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:46:52 +0800] "GET /cims_gjmy/operator HTTP/1.1" 302 -
192.168.1.167 - - [26/Jul/2022:11:47:50 +0800] "GET /cims_gjmy/exit HTTP/1.1" 200 96
192.168.1.167 - - [26/Jul/2022:11:47:55 +0800] "POST /cims_gjmy/operator HTTP/1.1" 302 -
192.168.1.167 - - [26/Jul/2022:11:47:55 +0800] "GET /cims_gjmy/CIMS/main.html HTTP/1.1" 304 -
192.168.1.167 - - [26/Jul/2022:11:47:55 +0800] "GET /cims_gjmy/CIMS/top.jsp HTTP/1.1" 200 10141
192.168.1.167 - - [26/Jul/2022:11:47:57 +0800] "GET /cims_gjmy/CIMS/left.jsp HTTP/1.1" 200 5484
192.168.1.167 - - [26/Jul/2022:11:47:57 +0800] "GET /cims_gjmy/CIMS/tab/menu.jsp HTTP/1.1" 200 16578
